TF	TG	cluster	borda_rank	borda_clusterRank	weight
BdiBd21-3.2G0644600	BdiBd21-3.2G0262500	Cluster_4	68	5	14.851215999835524
BdiBd21-3.2G0644600	BdiBd21-3.2G0087500	Cluster_4	68	5	14.267329485673251
BdiBd21-3.2G0644600	BdiBd21-3.2G0205100	Cluster_4	68	5	13.404963719681813
BdiBd21-3.2G0644600	BdiBd21-3.1G0206300	Cluster_4	68	5	13.12837449495033
BdiBd21-3.2G0644600	BdiBd21-3.3G0117100	Cluster_4	68	5	12.60055038804225
BdiBd21-3.2G0644600	BdiBd21-3.1G0148800	Cluster_4	68	5	12.049721829871295
BdiBd21-3.2G0644600	BdiBd21-3.1G0304200	Cluster_4	68	5	11.58452012752856
BdiBd21-3.2G0644600	BdiBd21-3.1G0208700	Cluster_4	68	5	11.493857839720109
BdiBd21-3.2G0644600	BdiBd21-3.2G0292700	Cluster_4	68	5	11.296281859009554
BdiBd21-3.2G0644600	BdiBd21-3.3G0073900	Cluster_4	68	5	10.883014754216942
BdiBd21-3.2G0644600	BdiBd21-3.3G0076300	Cluster_4	68	5	10.630890453845154
BdiBd21-3.2G0644600	BdiBd21-3.3G0257500	Cluster_4	68	5	10.30744235098575
BdiBd21-3.2G0644600	BdiBd21-3.1G0173900	Cluster_4	68	5	10.229319407373863
BdiBd21-3.2G0644600	BdiBd21-3.1G0209500	Cluster_4	68	5	9.97870998799885
BdiBd21-3.2G0644600	BdiBd21-3.3G0037500	Cluster_4	68	5	9.948633398659231
BdiBd21-3.2G0644600	BdiBd21-3.1G0199100	Cluster_4	68	5	9.2953487529345
BdiBd21-3.2G0644600	BdiBd21-3.2G0201400	Cluster_4	68	5	9.252955387545109
BdiBd21-3.2G0644600	BdiBd21-3.1G0064200	Cluster_4	68	5	9.226958621021064
BdiBd21-3.2G0644600	BdiBd21-3.2G0244000	Cluster_4	68	5	8.916125160801265
BdiBd21-3.2G0644600	BdiBd21-3.1G0111200	Cluster_4	68	5	8.792547497752969
BdiBd21-3.2G0644600	BdiBd21-3.2G0207200	Cluster_4	68	5	8.037716770980378
BdiBd21-3.2G0644600	BdiBd21-3.1G0135900	Cluster_4	68	5	8.003748398177603
BdiBd21-3.2G0644600	BdiBd21-3.2G0198200	Cluster_4	68	5	7.743466328186151
BdiBd21-3.2G0644600	BdiBd21-3.3G0280100	Cluster_4	68	5	7.543049845683045
BdiBd21-3.2G0644600	BdiBd21-3.2G0044700	Cluster_4	68	5	6.908783415379863
BdiBd21-3.2G0644600	BdiBd21-3.2G0157200	Cluster_4	68	5	6.889592307735845
BdiBd21-3.2G0644600	BdiBd21-3.3G0259900	Cluster_4	68	5	6.3737924898131775
BdiBd21-3.2G0644600	BdiBd21-3.2G0218500	Cluster_4	68	5	6.29506761146768
BdiBd21-3.2G0644600	BdiBd21-3.1G0159500	Cluster_4	68	5	6.148135359101581
BdiBd21-3.2G0644600	BdiBd21-3.1G0157100	Cluster_4	68	5	6.115510305964437
