p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
BdiBd21-3.2G0724100	1.00081503937222e-143	2.63235273118377	0.299	0.023	3.9099841958194e-139	0	BdiBd21-3.2G0724100
BdiBd21-3.3G0568800	2.99294353406427e-143	1.7671223543674	0.687	0.16	1.16928317988823e-138	0	BdiBd21-3.3G0568800
BdiBd21-3.3G0321900	8.53221340992335e-143	1.75041496307881	0.741	0.194	3.33336513498885e-138	0	BdiBd21-3.3G0321900
BdiBd21-3.5G0189400	1.05105660048919e-142	1.62451598025159	0.964	0.579	4.10626792679115e-138	0	BdiBd21-3.5G0189400
BdiBd21-3.5G0201400	1.66937222312091e-142	1.63209468975497	0.96	0.584	6.52190340128876e-138	0	BdiBd21-3.5G0201400
BdiBd21-3.1G0414200	2.03401019708621e-142	1.65562072432928	0.681	0.155	7.94647103797642e-138	0	BdiBd21-3.1G0414200
BdiBd21-3.1G0848600	3.16174523339955e-142	1.68337528499625	0.913	0.408	1.23523062778454e-137	0	BdiBd21-3.1G0848600
BdiBd21-3.3G0392700	3.64366307132288e-142	1.93113220137016	0.489	0.077	1.42350628870442e-137	0	BdiBd21-3.3G0392700
BdiBd21-3.2G0802000	5.34013436830251e-142	1.60431610730404	0.572	0.106	2.08628369500843e-137	0	BdiBd21-3.2G0802000
BdiBd21-3.3G0522900	7.66452070370972e-142	1.80161559473807	0.509	0.084	2.99437494852531e-137	0	BdiBd21-3.3G0522900
BdiBd21-3.2G0717000	3.795476395043e-141	1.7251719860693	0.869	0.296	1.4828167180154e-136	0	BdiBd21-3.2G0717000
BdiBd21-3.1G0948900	7.4503488201294e-141	1.77298756044514	0.606	0.125	2.91070227704815e-136	0	BdiBd21-3.1G0948900
BdiBd21-3.1G0698700	7.53362954141356e-141	2.4681390056871	0.386	0.047	2.94323838923945e-136	0	BdiBd21-3.1G0698700
BdiBd21-3.4G0610200	9.98237359171819e-141	1.87204989617687	0.802	0.25	3.89991371481246e-136	0	BdiBd21-3.4G0610200
BdiBd21-3.3G0284200	2.73942436760665e-140	2.26861288493141	0.364	0.04	1.07023831193657e-135	0	BdiBd21-3.3G0284200
BdiBd21-3.2G0039800	3.00028542863544e-140	2.04825611800173	0.426	0.058	1.17215151125929e-135	0	BdiBd21-3.2G0039800
BdiBd21-3.2G0152900	3.99438514658252e-140	1.60464277861797	0.56	0.102	1.56052638906686e-135	0	BdiBd21-3.2G0152900
BdiBd21-3.2G0697200	4.23286863223947e-140	1.72586858896104	0.517	0.088	1.65369711724332e-135	0	BdiBd21-3.2G0697200
BdiBd21-3.1G0139100	2.72251792571494e-139	1.93499065680647	0.507	0.086	1.06363330321831e-134	0	BdiBd21-3.1G0139100
BdiBd21-3.3G0018900	2.93981282026483e-139	1.54710691579694	0.966	0.539	1.14852607262106e-134	0	BdiBd21-3.3G0018900
BdiBd21-3.2G0407600	3.51666481289413e-139	1.76322252429654	0.907	0.403	1.37389060910148e-134	0	BdiBd21-3.2G0407600
BdiBd21-3.3G0716400	4.57822598713072e-139	1.67529735148891	0.962	0.634	1.78862132865223e-134	0	BdiBd21-3.3G0716400
BdiBd21-3.1G0504100	5.45642530644684e-139	1.83628166493946	0.525	0.093	2.13171623872265e-134	0	BdiBd21-3.1G0504100
BdiBd21-3.2G0485000	2.27426104689689e-138	1.63889259788427	0.547	0.101	8.88508305801678e-134	0	BdiBd21-3.2G0485000
